Nome Empresa;Ticker;SETOR_ATIV;DT_REFER;1;2;3;4;5;6;7;8;9;10;11;12;12 Cluster;34 Cluster;56 Cluster;78 Cluster;910 Cluster;1112 Cluster
REDE D'OR SÃO LUIZ S.A.;RDOR;Serviços Médicos;2022-09-30;13628540;3073936,0;3073936,0;958417,0;13628540;45439234;13628540;-45439234;13628540;-6097446;13628540;16451505;0,0;0,0;0,0;0,0;0,0;0,0
CENTRO DE IMAGEM DIAGNOSTICOS S.A.;AALR;Serviços Médicos;2022-09-30;1072554;47666,0;47666,0;0,0;1072554;2220735;1072554;-2220735;1072554;-405735;1072554;253753;1,0;0,0;1,0;1,0;1,0;1,0
DIAGNOSTICOS DA AMERICA S.A.;DASA;Serviços Médicos;2022-09-30;7352804;1219285,0;1219285,0;0,0;7352804;19159043;7352804;-19159043;7352804;-2842672;7352804;2807290;0,0;0,0;0,0;0,0;0,0;0,0
MPM CORPÓREOS S.A.;ESPA;Serviços Médicos;2022-09-30;684239;0,0;0,0;244422,0;684239;1449204;684239;-1449204;684239;-12785;684239;8402;0,0;0,0;1,0;1,0;1,0;1,0
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;JOPA;Emp. Adm. Part. - Alimentos;2022-09-30;571085;671863,0;671863,0;269810,0;571085;2268949;571085;-2268949;571085;-943333;571085;1729065;0,0;0,0;0,0;0,0;0,0;0,0
BRF S.A.;BRFS;Emp. Adm. Part. - Alimentos;2022-09-30;12000440;12150323,0;12150323,0;0,0;12000440;60385097;12000440;-60385097;12000440;-26663905;12000440;20403541;0,0;0,0;0,0;0,0;0,0;0,0
MINUPAR PARTICIPACOES S.A.;MNPR;Emp. Adm. Part. - Alimentos;2022-09-30;0;9070,0;9070,0;5846,0;0;21030;0;-21030;0;-1382;0;2;0,0;0,0;0,0;0,0;0,0;0,0
BRASKEM S.A.;BRKM;Petroquímicos e Borracha;2022-09-30;8689362;17936219,0;17936219,0;2242911,0;8689362;76065242;8689362;-76065242;8689362;-21977094;8689362;24318520;1,0;2,0;0,0;0,0;0,0;0,0
TRONOX PIGMENTOS DO BRASIL S.A.;CRPG;Petroquímicos e Borracha;2022-09-30;911266;216086,0;216086,0;610505,0;911266;1173439;911266;-1173439;911266;-138858;911266;682188;2,0;1,0;1,0;1,0;1,0;1,0
UNIPAR CARBOCLORO S.A.;UNIP;Petroquímicos e Borracha;2022-09-30;2818632;621640,0;621640,0;919223,0;2818632;5323961;2818632;-5323961;2818632;-821761;2818632;686211;0,0;0,0;2,0;2,0;2,0;2,0
FERTILIZANTES HERINGER S.A.;FHER;Petroquímicos e Borracha;2022-09-30;442020;1804594,0;1804594,0;0,0;442020;3059685;442020;-3059685;442020;-1473963;442020;2316459;2,0;0,0;1,0;1,0;1,0;1,0
SANSUY S.A. INDUSTRIA DE PLASTICOS;SNSY;Petroquímicos e Borracha;2022-09-30;0;144872,0;144872,0;0,0;0;312996;0;-312996;0;-219761;0;164596;0,0;0,0;0,0;0,0;0,0;0,0
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;AGRO;Agricultura (Açúcar, Álcool e Cana);2022-09-30;2274107;168641,0;168641,0;612828,0;2274107;3110720;2274107;-3110720;2274107;-327337;2274107;833635;1,0;1,0;1,0;1,0;1,0;1,0
COSAN S.A.;CSAN;Agricultura (Açúcar, Álcool e Cana);2022-09-30;15968552;526909,0;526909,0;8573565,0;15968552;42271004;15968552;-42271004;15968552;-10490632;15968552;3771433;2,0;2,0;2,0;2,0;2,0;2,0
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;CTCA;Agricultura (Açúcar, Álcool e Cana);2022-09-30;839303;91533,0;91533,0;217051,0;839303;940358;839303;-940358;839303;-76553;839303;401927;1,0;1,0;1,0;1,0;1,0;1,0
JALLES MACHADO S.A.;JALL;Agricultura (Açúcar, Álcool e Cana);2022-09-30;1676446;486288,0;486288,0;462727,0;1676446;5366048;1676446;-5366048;1676446;-763257;1676446;2668028;1,0;1,0;1,0;1,0;1,0;1,0
NUTRIPLANT INDUSTRIA E COMERCIO S.A.;NUTR;Agricultura (Açúcar, Álcool e Cana);2022-09-30;29036;47917,0;47917,0;506,0;29036;108800;29036;-108800;29036;-40306;29036;70994;1,0;1,0;1,0;1,0;1,0;1,0
SAO MARTINHO S.A.;SMTO;Agricultura (Açúcar, Álcool e Cana);2022-09-30;5452022;1529634,0;1529634,0;1168559,0;5452022;17671072;5452022;-17671072;5452022;-3167817;5452022;5704830;0,0;0,0;0,0;0,0;2,0;0,0
SLC AGRICOLA S.A.;SLCE;Agricultura (Açúcar, Álcool e Cana);2022-09-30;4788889;1111347,0;1111347,0;922596,0;4788889;15275816;4788889;-15275816;4788889;-3542513;4788889;5274430;0,0;0,0;0,0;0,0;0,0;0,0
POMIFRUTAS S/A EM RECUPERACAO JUDICIAL;FRTA;Agricultura (Açúcar, Álcool e Cana);2022-09-30;0;0,0;0,0;17,0;0;14141;0;-14141;0;-78393;0;1505;0,0;0,0;0,0;0,0;0,0;0,0
SYN PROP & TECH S.A.;SYNE;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;1550465;1633,0;1633,0;121776,0;1550465;2556153;1550465;-2556153;1550465;-67822;1550465;343137;0,0;0,0;0,0;0,0;0,0;2,0
EZ TEC EMPREEND. E PARTICIPACOES S.A.;EZTC;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;4470659;95571,0;95571,0;1637960,0;4470659;4835626;4470659;-4835626;4470659;-44239;4470659;676334;2,0;2,0;2,0;2,0;2,0;1,0
JHSF PARTICIPACOES S.A.;JHSF;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;4970929;156635,0;156635,0;3104979,0;4970929;7469603;4970929;-7469603;4970929;-1200526;4970929;774918;1,0;2,0;1,0;1,0;1,0;1,0
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;LPSB;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;196834;2478,0;2478,0;30113,0;196834;346295;196834;-346295;196834;-96915;196834;15062;0,0;0,0;0,0;0,0;0,0;0,0
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;MELK;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;1198545;2284,0;2284,0;121208,0;1198545;1267313;1198545;-1267313;1198545;-47122;1198545;200428;0,0;0,0;0,0;0,0;0,0;0,0
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;MULT;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;6543647;297905,0;297905,0;2658231,0;6543647;10567545;6543647;-10567545;6543647;-1454872;6543647;1218390;1,0;1,0;1,0;1,0;1,0;1,0
TRISUL S.A.;TRIS;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;1250421;608,0;608,0;396297,0;1250421;1910204;1250421;-1910204;1250421;-385276;1250421;79681;0,0;0,0;0,0;0,0;0,0;0,0
NEXPE PARTICIPAÇÕES S.A;BBRK;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;20281;0,0;0,0;0,0;20281;298492;20281;-298492;20281;-47919;20281;47788;0,0;0,0;0,0;0,0;0,0;0,0
PDG REALTY S.A. EMPREEND E PARTICIPACOES;PDGR;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;2022-09-30;0;952,0;952,0;0,0;0;2748234;0;-2748234;0;-2016397;0;25344;0,0;0,0;0,0;0,0;0,0;0,0
BRADESPAR S.A.;BRAP;Emp. Adm. Part. - Extração Mineral;2022-09-30;7833582;1099257,0;1099257,0;2057761,0;7833582;7927778;7833582;-7927778;7833582;-93187;7833582;890635;0,0;0,0;0,0;0,0;0,0;0,0
CONSERVAS ODERICH S.A.;ODER;Alimentos;2022-09-30;414981;189069,0;189069,0;154893,0;414981;836063;414981;-836063;414981;-241265;414981;625854;2,0;2,0;0,0;0,0;1,0;2,0
EXCELSIOR ALIMENTOS S.A.;BAUH;Alimentos;2022-09-30;107672;47200,0;47200,0;54359,0;107672;165489;107672;-165489;107672;-47022;107672;51666;2,0;2,0;0,0;0,0;1,0;2,0
JBS S.A.;JBSS;Alimentos;2022-09-30;44282089;15242067,0;15242067,0;9842093,0;44282089;93720992;44282089;-93720992;44282089;-15395744;44282089;13452041;0,0;0,0;1,0;1,0;2,0;1,0
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;MDIA;Alimentos;2022-09-30;6592032;2963425,0;2963425,0;3738053,0;6592032;11082845;6592032;-11082845;6592032;-2253029;6592032;4683365;2,0;0,0;0,0;0,0;1,0;2,0
MARFRIG GLOBAL FOODS S.A.;MRFG;Alimentos;2022-09-30;6832400;5179175,0;5179175,0;2379408,0;6832400;48906622;6832400;-48906622;6832400;-11360540;6832400;7987065;0,0;1,0;1,0;1,0;0,0;0,0
MINERVA S.A.;BEEF;Alimentos;2022-09-30;621997;4388024,0;4388024,0;353865,0;621997;22242372;621997;-22242372;621997;-7022969;621997;9658449;1,0;1,0;2,0;2,0;0,0;0,0
ZAMP SA;BKBR;Alimentos;2022-09-30;1456994;908647,0;908647,0;0,0;1456994;3994231;1456994;-3994231;1456994;-851383;1456994;998163;2,0;0,0;0,0;0,0;1,0;2,0
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;MEAL;Alimentos;2022-09-30;1059710;40240,0;40240,0;0,0;1059710;1709218;1059710;-1709218;1059710;-225230;1059710;50757;2,0;0,0;0,0;0,0;1,0;2,0
HYPERA S.A.;HYPE;Farmacêutico e Higiene;2022-09-30;10492687;2059299,0;2059299,0;4349494,0;10492687;21663007;10492687;-21663007;10492687;-3524434;10492687;5289864;0,0;0,0;2,0;2,0;2,0;2,0
BIOMM S.A.;BIOM;Farmacêutico e Higiene;2022-09-30;121364;30741,0;30741,0;0,0;121364;345470;121364;-345470;121364;-79870;121364;119344;0,0;0,0;1,0;1,0;1,0;1,0
NATURA &CO HOLDING S.A.;NTCO;Farmacêutico e Higiene;2022-09-30;22984957;0,0;0,0;866840,0;22984957;23230116;22984957;-23230116;22984957;-220661;22984957;191072;0,0;0,0;0,0;0,0;0,0;0,0
BOMBRIL S.A.;BOBR;Farmacêutico e Higiene;2022-09-30;0;387148,0;387148,0;0,0;0;897220;0;-897220;0;-678763;0;419729;0,0;0,0;0,0;0,0;0,0;0,0
BICICLETAS MONARK S.A.;BMKS;Brinquedos e Lazer;2022-09-30;206103;5935,0;5935,0;26602,0;206103;228968;206103;-228968;206103;-5029;206103;181142;2,0;0,0;2,0;2,0;2,0;2,0
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;SMFT;Brinquedos e Lazer;2022-09-30;4147929;280854,0;280854,0;0,0;4147929;7249059;4147929;-7249059;4147929;-589642;4147929;2478668;1,0;0,0;1,0;1,0;1,0;1,0
T4F ENTRETENIMENTO S.A.;SHOW;Brinquedos e Lazer;2022-09-30;141721;28245,0;28245,0;0,0;141721;600261;141721;-600261;141721;-258916;141721;281355;0,0;0,0;0,0;0,0;0,0;0,0
MANUFATURA DE BRINQUEDOS ESTRELA S.A.;ESTR;Brinquedos e Lazer;2022-09-30;0;9600,0;9600,0;28460,0;0;139486;0;-139486;0;-533508;0;29680;0,0;0,0;0,0;0,0;0,0;0,0
BEMOBI MOBILE TECH S.A.;BMOB;Comunicação e Informática;2022-09-30;1063707;43920,0;43920,0;134218,0;1063707;1118021;1063707;-1118021;1063707;-33919;1063707;536881;1,0;1,0;2,0;2,0;2,0;2,0
