Data_REF;Nome Empresa;Ticker;SETOR_ATIV;1;2;3;4;5;6;7;8;9;10;11;12
2023-06-30;WHIRLPOOL S.A.;WHRL;Máquinas, Equipamentos, Veículos e Peças;2223030,844895404;2652400,9878909113;2652400,9878909113;564582,361294556;2223030,844895404;9656735,805775926;2223030,844895404;-9656735,805775926;2223030,844895404;-6085495,430911133;2223030,844895404;5396673,787216243
2023-09-30;WHIRLPOOL S.A.;WHRL;Máquinas, Equipamentos, Veículos e Peças;2216515,1586413137;2817403,7373470776;2817403,7373470776;572255,6341293389;2216515,1586413137;10058106,409273468;2216515,1586413137;-10058106,409273468;2216515,1586413137;-6401228,571923834;2216515,1586413137;5586747,300365562
2017-12-30;WETZEL S.A. EM RECUPERAÇÃO JUDICIAL;MWET;Metalurgia e Siderurgia;-168,4016636955766;21798,562431036153;21798,562431036153;0,0;-168,4016636955766;182831,98472114233;-168,4016636955766;-182831,98472114233;-168,4016636955766;-202165,15278838322;-168,4016636955766;34107,96511329697
2018-03-30;WETZEL S.A. EM RECUPERAÇÃO JUDICIAL;MWET;Metalurgia e Siderurgia;-194,29088523178956;18513,8587028634;18513,8587028634;0,0;-194,29088523178956;179779,26275471394;-194,29088523178956;-179779,26275471394;-194,29088523178956;-227416,8822565818;-194,29088523178956;34581,74961972921
2018-06-30;WETZEL S.A. EM RECUPERAÇÃO JUDICIAL;MWET;Metalurgia e Siderurgia;-217,49012991083458;15133,73529128664;15133,73529128664;0,0;-217,49012991083458;176603,3881027708;-217,49012991083458;-176603,3881027708;-217,49012991083458;-255348,72528118175;-217,49012991083458;35569,053562126974
2018-09-30;WETZEL S.A. EM RECUPERAÇÃO JUDICIAL;MWET;Metalurgia e Siderurgia;-237,66252150729082;11663,369658966381;11663,369658966381;0,0;-237,66252150729082;173308,86687739176;-237,66252150729082;-173308,86687739176;-237,66252150729082;-286072,38276109425;-237,66252150729082;37109,70081162381
2022-12-30;WESTWING COMÉRCIO VAREJISTA S.A.;WEST;Comércio (Atacado e Varejo);154031,95238095275;58899,36507936468;58899,36507936468;0,0;154031,95238095275;209322,2936508073;154031,95238095275;-209322,2936508073;154031,95238095275;-37343,920634921116;154031,95238095275;90788,74603173858
2023-03-30;WESTWING COMÉRCIO VAREJISTA S.A.;WEST;Comércio (Atacado e Varejo);-87737,14285714345;62616,98412698324;62616,98412698324;0,0;-87737,14285714345;-42653,563492044865;-87737,14285714345;42653,563492044865;-87737,14285714345;-46311,7063492068;-87737,14285714345;-110917,03968255222
2023-06-30;WESTWING COMÉRCIO VAREJISTA S.A.;WEST;Comércio (Atacado e Varejo);-423624,69480519707;72877,35209235051;72877,35209235051;0,0;-423624,69480519707;-381030,5613275378;-423624,69480519707;381030,5613275378;-423624,69480519707;-69802,52886002907;-423624,69480519707;-371386,4531024725
2023-09-30;WESTWING COMÉRCIO VAREJISTA S.A.;WEST;Comércio (Atacado e Varejo);-864874,8095238142;91419,79220778964;91419,79220778964;0,0;-864874,8095238142;-814312,1645021357;-864874,8095238142;814312,1645021357;-864874,8095238142;-111216,24675324635;-864874,8095238142;-694990,8528138807
2022-12-30;WEG S.A.;WEGE;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;15151246,368474342;1286757,8007808994;1286757,8007808994;4406646,059248442;15151246,368474342;15466391,920975301;15151246,368474342;-15466391,920975301;15151246,368474342;-310071,158051161;15151246,368474342;1166936,4159242972
2023-03-30;WEG S.A.;WEGE;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;15974759,616376925;1416277,4610538576;1416277,4610538576;4825443,842564338;15974759,616376925;16315656,621062823;15974759,616376925;-16315656,621062823;15974759,616376925;-335691,07909673895;15974759,616376925;1147056,8610616296
2023-06-30;WEG S.A.;WEGE;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;16841217,983509876;1555945,343939643;1555945,343939643;5276933,785275335;16841217,983509876;17210075,90353492;16841217,983509876;-17210075,90353492;16841217,983509876;-363503,2376188678;16841217,983509876;1125362,222426522
2023-09-30;WEG S.A.;WEGE;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;17751891,43400723;1706151,4850493497;1706151,4850493497;5762399,871844872;17751891,43400723;18151016,558411077;17751891,43400723;-18151016,558411077;17751891,43400723;-393603,9229833387;17751891,43400723;1101865,8745166408
