CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
05.917.486/0001-40;2022-01-01;10;126930;8115;180;7;21545321;33.319000;0;0.000000;21545321;33.319000;2022-04-29
06.016.348/0001-53;2022-01-01;1;115955;0;3;0;0;0.000000;0;0.000000;0;0.000000;2019-09-04
06.047.087/0001-39;2022-01-01;8;125825;54151;2031;0;1095177074;47.836000;0;0.000000;1095177074;47.836000;2021-04-30
06.057.223/0001-71;2022-01-01;11;123560;43881;583;1481;935853069;69.362255;0;0.000000;935853069;69.362255;2022-12-12
06.164.253/0001-87;2022-01-01;17;127271;108910;313;439;0;0.000000;218221868;64.786257;218221868;64.786257;2023-02-15
06.272.793/0001-84;2022-01-01;5;125915;1447;27;22;56198312;34.836773;1087582;37.961507;57285894;34.891298;2022-04-28
06.347.409/0001-65;2022-01-01;7;126931;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-12-01
06.626.253/0001-51;2022-01-01;12;126730;25147;67;137;156317815;33.701526;0;0.000000;156317815;33.701526;2023-04-25
06.977.745/0001-91;2022-01-01;6;123150;0;1;0;828273884;100.000000;0;0.000000;828273884;100.000000;2023-01-09
06.977.751/0001-49;2022-01-01;15;127086;5324;30;147;659582;5.680757;0;0.000000;659582;5.680757;2023-04-26
06.981.176/0001-58;2022-01-01;7;126042;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-29
06.981.180/0001-16;2022-01-01;7;126034;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-07-03
06.981.381/0001-13;2022-03-31;2;118181;0;89;1;0;0.000000;0;0.000000;0;0.000000;2021-07-21
07.040.108/0001-57;2022-01-01;13;125585;4;5;0;21340663;11.626251;18169;0.009898;21358832;11.636149;2021-04-16
07.043.628/0001-13;2022-01-01;4;125946;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-04-30
07.047.251/0001-70;2022-01-01;15;125797;7515;287;14;1003692;2.088070;19198932;64.453281;20202624;25.948939;2023-04-25
07.119.838/0001-48;2022-01-01;3;122807;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-12-07
07.206.816/0001-15;2022-01-01;2;119883;78790;365;148;69291942;20.440101;0;0.000000;69291942;20.440101;2022-07-29
07.237.373/0001-20;2022-01-01;12;126954;8681;1117;12;614477;0.710000;0;0.000000;614477;0.710000;2022-03-28
07.253.321/0001-47;2022-01-01;1;116818;5;1;0;155000;70.000000;66000;30.000000;221000;100.000000;2020-07-30
07.275.159/0001-68;2022-01-01;1;114741;177;365;0;239823;48.310000;1672246;95.370000;1912069;84.330000;2011-04-29
07.282.377/0001-20;2022-01-01;3;123105;21;10;0;731;0.750000;0;0.000000;731;0.750000;2022-04-28
07.334.600/0001-35;2022-01-01;1;114603;8;2;0;0;0.000000;0;0.000000;0;0.000000;2021-04-30
07.401.436/0001-31;2022-01-01;1;116630;0;2;0;1525558419;100.000000;0;0.000000;1525558419;100.000000;2012-08-20
07.415.333/0001-20;2022-01-01;11;125942;30722;370;17;226890081;27.060000;0;0.000000;226890081;27.060000;2022-04-27
07.437.016/0001-05;2022-01-01;2;125663;3;3;0;0;0.000000;0;0.000000;0;0.000000;2022-04-19
07.526.557/0001-00;2022-01-01;9;128293;308094;1897;652;4394245879;27.893200;0;0.000000;4394245879;27.893200;2023-04-28
07.587.384/0001-30;2022-01-01;1;116198;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-30
07.594.978/0001-78;2022-01-01;6;125835;9438;61;367;258804766;44.150000;0;0.000000;258804766;44.150000;2022-04-27
07.628.528/0001-59;2022-06-30;5;121281;42431;190;348;51771532;63.056000;0;0.000000;51771532;57.802000;2021-10-27
07.636.657/0001-99;2022-01-01;6;123781;4;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-28
07.659.538/0001-51;2022-01-01;2;115740;3;1;0;334424444;100.000000;0;0.000000;334424444;100.000000;2007-04-27
07.689.002/0001-89;2022-01-01;10;126246;95983;14777;273;734632205;99.212000;0;0.000000;734632205;99.212000;2022-04-26
07.704.246/0001-93;2022-01-01;2;126093;8;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-29
07.718.269/0001-57;2022-01-01;5;127297;1885;49;33;23542287;47.084574;0;0.000000;23542287;47.084574;2022-04-29
07.802.794/0001-56;2022-01-01;7;126963;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-06-20
07.816.890/0001-53;2022-01-01;6;126119;38417;1381;0;266933994;47.220000;0;0.000000;266933994;44.420000;2022-04-29
07.820.907/0001-46;2022-01-01;3;127124;320;6;25;2380679;98.287772;0;0.000000;2380679;98.287727;2021-12-31
07.823.262/0001-03;2022-01-01;2;123012;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-04-29
07.857.093/0001-14;2022-01-01;9;126085;33616;483;28;30658097;42.200000;0;0.000000;30658097;42.200000;2021-06-29
07.857.850/0001-50;2022-01-01;5;126035;2134;29;59;0;0.000000;40152736;93.431136;40152736;51.876891;2022-05-04
07.859.510/0001-68;2022-01-01;3;126154;0;3;0;0;0.000000;0;0.000000;0;0.000000;2022-04-23
07.859.971/0001-30;2022-01-01;13;126020;392926;445;1175;218568274;37.000689;437136468;98.724840;655704742;63.445266;2021-04-29
07.882.930/0001-65;2022-01-01;8;126152;22259;156;148;52463951;49.600000;0;0.000000;52463951;49.600000;2022-04-29
07.976.147/0001-60;2022-01-01;6;125163;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-05-31
08.065.557/0001-12;2022-01-01;4;123707;40898;141;112;47851218;64.998300;0;0.000000;47851218;64.998300;2022-04-27
08.070.508/0001-78;2022-03-31;9;116965;0;3;0;0;0.000000;0;0.000000;0;0.000000;2021-12-01
08.078.847/0001-09;2022-01-01;4;126288;15443;116;31;104430376;70.774042;0;0.000000;104430376;70.774042;2023-04-27
08.159.965/0001-33;2022-01-01;7;123754;0;1;5;351245838;100.000000;0;0.000000;351245838;100.000000;2021-07-12
08.170.849/0001-15;2022-01-01;10;126048;7245;109;213;33340604;28.939412;0;0.000000;33340604;28.939412;2022-04-29
08.213.823/0001-07;2022-01-01;4;125646;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-03-30
08.294.224/0001-65;2022-01-01;8;127215;112342;803;136;299019330;44.016900;0;0.000000;299019330;44.016900;2022-04-05
08.312.229/0001-73;2022-01-01;4;126061;85810;613;376;94318339;42.680086;0;0.000000;94318339;42.680086;2022-05-18
08.322.396/0001-03;2022-03-31;5;117114;0;4;0;0;0.000000;0;0.000000;0;0.000000;2021-08-17
08.324.196/0001-81;2022-01-01;9;125924;6223;379;47;8894276;6.858718;2784579;7.265200;11678855;6.951400;2022-04-13
08.343.492/0001-20;2022-01-01;15;127243;57678;874;654;305322465;63.111377;0;0.000000;305322465;63.111377;2022-04-29
08.364.948/0001-38;2022-01-01;11;127024;125869;908;908;145652351;23.461000;291698267;99.406000;437350618;47.836000;2023-04-17
08.397.078/0001-01;2022-01-01;3;127289;12;2;1;0;0.000000;0;0.000000;0;0.000000;2021-11-16
08.402.943/0001-52;2022-01-01;8;127054;19553;168;293;81934660;16.413193;0;0.000000;81934660;16.413193;2022-04-27
08.424.178/0001-71;2022-01-01;1;115813;3;4;0;18089;14.990000;102590;85.010000;120679;100.000000;2016-04-29
