CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.938.574/0001-05;2022-01-01;7;126918;292216;Capital Subscrito;2022-12-15;57899999.89;;48786;37680;86466
00.938.574/0001-05;2022-01-01;7;126918;292217;Capital Subscrito;2022-04-29;99400000.00;;48786;37680;86466
00.938.574/0001-05;2022-01-01;7;126918;292218;Capital Subscrito;2021-03-12;99400000.00;;48786;37680;86466
00.938.574/0001-05;2022-01-01;7;126918;292219;Capital Subscrito;2020-04-17;99400000.00;;48786;37680;86466
00.974.211/0001-25;2022-01-01;1;116172;264419;Capital Emitido;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2022-01-01;1;116172;264420;Capital Subscrito;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2022-01-01;1;116172;264421;Capital Integralizado;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2022-01-01;1;116172;264422;Capital Autorizado;1998-12-29;150000000.00;;0;0;0
00.979.969/0001-56;2022-01-01;1;114163;258958;Capital Subscrito;2017-08-11;210200000.00;;69150262;0;69150262
00.979.969/0001-56;2022-01-01;1;114163;258959;Capital Integralizado;2017-08-11;210200000.00;;69150262;0;69150262
01.027.058/0001-91;2022-01-01;20;126320;291675;Capital Emitido;2019-04-18;5700000000.00;;2716815061;0;2716815061
01.027.058/0001-91;2022-01-01;20;126320;291676;Capital Subscrito;2019-04-18;5700000000.00;Não Aplicável;2716815061;0;2716815061
01.027.058/0001-91;2022-01-01;20;126320;291677;Capital Integralizado;2019-04-18;5700000000.00;Não Aplicável;2716815061;0;2716815061
01.027.058/0001-91;2022-01-01;20;126320;291678;Capital Autorizado;2011-04-29;263834773.86;;2400000000;0;2400000000
01.083.200/0001-18;2022-01-01;9;126025;291055;Capital Emitido;2018-03-26;12919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2022-01-01;9;126025;291056;Capital Subscrito;2018-03-26;12919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2022-01-01;9;126025;291057;Capital Integralizado;2018-03-26;12919982151.71;;1213797248;0;1213797248
01.104.937/0001-70;2022-01-01;2;125970;290853;Capital Emitido;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2022-01-01;2;125970;290854;Capital Subscrito;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2022-01-01;2;125970;290855;Capital Integralizado;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2022-01-01;2;125970;290856;Capital Autorizado;1996-12-15;1500000000.00;;11764889;0;11764889
01.107.327/0001-20;2022-01-01;4;125657;289940;Capital Autorizado;2021-06-23;1800000000.00;;0;0;0
01.107.327/0001-20;2022-01-01;4;125657;289941;Capital Emitido;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2022-01-01;4;125657;289942;Capital Subscrito;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2022-01-01;4;125657;289943;Capital Integralizado;2019-12-17;102489376.00;;40760818;0;40760818
01.258.944/0001-26;2022-01-01;5;126330;291709;Capital Emitido;2018-04-25;2695632783.73;;45035110304475;68516168445415;113551278749890
01.258.944/0001-26;2022-01-01;5;126330;291710;Capital Subscrito;2018-04-25;2695632783.73;;45035110304475;68516168445415;113551278749890
01.258.944/0001-26;2022-01-01;5;126330;291711;Capital Integralizado;2018-04-25;2695632783.73;;45035110304475;68516168445415;113551278749890
01.258.944/0001-26;2022-01-01;5;126330;291712;Capital Emitido;2016-04-18;2502180783.73;;4029290925966;0;4029290925966
01.258.944/0001-26;2022-01-01;5;126330;291713;Capital Subscrito;2016-04-18;2502180783.73;;4029290925966;0;4029290925966
01.258.944/0001-26;2022-01-01;5;126330;291714;Capital Integralizado;2016-04-18;2502180783.73;;4029290925966;0;4029290925966
01.258.944/0001-26;2022-01-01;5;126330;291715;Capital Autorizado;2016-04-18;3000000000.00;;0;0;0
01.258.944/0001-26;2022-01-01;5;126330;291716;Capital Emitido;2015-03-31;1725126644.06;;1073867212980;1633775655374;2707642868354
01.258.944/0001-26;2022-01-01;5;126330;291717;Capital Subscrito;2015-03-31;1725126644.06;;1073867212980;1633775655374;2707642868354
01.258.944/0001-26;2022-01-01;5;126330;291718;Capital Integralizado;2015-03-31;1725126644.06;;1073867212980;1633775655374;2707642868354
01.258.944/0001-26;2022-01-01;5;126330;291719;Capital Autorizado;2014-04-29;2000000000.00;;0;0;0
01.319.044/0001-41;2022-01-01;1;116442;265416;Capital Integralizado;1996-06-01;50000.00;;100;0;100
01.417.222/0001-77;2022-01-01;6;125816;290248;Capital Emitido;2022-04-26;3961030948.65;;188332687;151667313;340000000
01.417.222/0001-77;2022-01-01;6;125816;290249;Capital Subscrito;2022-04-26;3961030948.65;;188332687;151667313;340000000
01.417.222/0001-77;2022-01-01;6;125816;290250;Capital Integralizado;2022-04-26;3961030948.65;;188332687;151667313;340000000
01.417.222/0001-77;2022-01-01;6;125816;290251;Capital Autorizado;2022-04-26;5000000000.00;;0;0;0
01.543.032/0001-04;2022-01-01;9;123966;285020;Capital Emitido;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2022-01-01;9;123966;285021;Capital Subscrito;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2022-01-01;9;123966;285022;Capital Integralizado;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2022-01-01;9;123966;285023;Capital Autorizado;2017-07-11;0.00;;2000000000;0;2000000000
01.545.826/0001-07;2022-01-01;13;125981;290964;Capital Emitido;2023-04-24;1396161614.34;Totalmente integralizado;60416860;0;60416860
01.545.826/0001-07;2022-01-01;13;125981;290965;Capital Subscrito;2023-04-24;1396161614.34;Totalmente Integralizado;60416860;0;60416860
01.545.826/0001-07;2022-01-01;13;125981;290966;Capital Subscrito;2023-04-24;1396161614.34;Totalmente Integralizado;60416860;0;60416860
01.545.826/0001-07;2022-01-01;13;125981;290967;Capital Integralizado;2023-04-24;1396161614.34;;60416860;0;60416860
01.548.981/0001-79;2022-01-01;5;125596;289758;Capital Emitido;2015-04-30;123144439.42;;792124;1571812;2363936
01.548.981/0001-79;2022-01-01;5;125596;289759;Capital Subscrito;2015-04-30;123144439.42;;792124;1571812;2363936
01.548.981/0001-79;2022-01-01;5;125596;289760;Capital Subscrito;2015-04-30;123144439.42;;792124;1571812;2363936
01.599.101/0001-93;2022-01-01;33;126901;292030;Capital Integralizado;2023-04-11;656392385.66;;140702013;0;140702013
01.599.101/0001-93;2022-01-01;33;126901;292031;Capital Autorizado;2020-08-12;3000000000.00;;0;0;0
01.616.929/0001-02;2022-01-01;7;125984;290975;Capital Emitido;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2022-01-01;7;125984;290976;Capital Subscrito;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2022-01-01;7;125984;290977;Capital Integralizado;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2022-01-01;7;125984;290978;Capital Autorizado;2014-06-04;3125000000.00;;2500000000;625000000;3125000000
01.838.723/0001-27;2022-01-01;16;125591;289736;Capital Emitido;2022-02-04;13053417953.36;;1082473246;0;1082473246
01.838.723/0001-27;2022-01-01;16;125591;289737;Capital Subscrito;2022-02-04;13053417953.36;;1082473246;0;1082473246
01.838.723/0001-27;2022-01-01;16;125591;289738;Capital Integralizado;2022-02-04;13053417953.36;;1082473246;0;1082473246
01.838.723/0001-27;2022-01-01;16;125591;289739;Capital Autorizado;2010-03-31;0.00;;1325000000;0;1325000000
01.851.771/0001-55;2022-01-01;2;125645;289896;Capital Subscrito;2023-04-28;1135904.66;12 MESES;4234183918;0;4234183918
01.851.771/0001-55;2022-01-01;2;125645;289897;Capital Subscrito;2022-04-29;1015904.66;12 MESES;1377041061;0;1377041061
01.851.771/0001-55;2022-01-01;2;125645;289898;Capital Subscrito;2021-04-30;895904.66;12 MESES;446808503;0;446808503
01.851.771/0001-55;2022-01-01;2;125645;289899;Capital Subscrito;2020-03-05;805904.66;5 DIAS;228361901;0;228361901
01.851.771/0001-55;2022-01-01;2;125645;289900;Capital Subscrito;2019-02-07;584904.66;5 DIAS;206261901;0;206261901
01.896.779/0001-38;2022-01-01;4;120648;274560;Capital Emitido;2021-11-17;169231849.61;;41800000;0;41800000
01.896.779/0001-38;2022-01-01;4;120648;274561;Capital Subscrito;2021-11-17;169231849.61;;41800000;0;41800000
01.896.779/0001-38;2022-01-01;4;120648;274562;Capital Integralizado;2021-11-17;169231849.61;;41800000;0;41800000
01.896.779/0001-38;2022-01-01;4;120648;274563;Capital Autorizado;2021-11-17;1000000000.00;;0;0;0
01.917.818/0001-36;2022-01-01;18;127410;293948;Capital Emitido;2006-01-13;77421581.00;;77421581;0;77421581
01.917.818/0001-36;2022-01-01;18;127410;293949;Capital Subscrito;2006-01-13;77421581.00;;0;0;0
01.917.818/0001-36;2022-01-01;18;127410;293950;Capital Integralizado;2006-01-13;77421581.00;;0;0;0
01.938.783/0001-11;2022-01-01;6;126113;291304;Capital Emitido;2016-04-29;410358800.00;;6425139;6425139;12850278
01.938.783/0001-11;2022-01-01;6;126113;291305;Capital Subscrito;2016-04-29;410358800.00;;6425139;6425139;12850278
01.938.783/0001-11;2022-01-01;6;126113;291306;Capital Integralizado;2016-04-29;410358800.00;;6425139;6425139;12850278
01.968.293/0001-68;2022-01-01;3;121060;276399;Capital Emitido;2021-11-30;66071387.00;N/A;30829941;30829941;61659882
01.968.293/0001-68;2022-01-01;3;121060;276400;Capital Subscrito;2021-11-30;66071387.00;N/A;30829941;30829941;61659882
01.968.293/0001-68;2022-01-01;3;121060;276401;Capital Integralizado;2021-11-30;66071387.00;N/A;30829941;30829941;61659882
01.989.044/0001-59;2022-01-01;1;116453;265464;Capital Integralizado;1997-06-16;50000.00;;1000;0;1000
